book	chapter	verse	figure	english_snippet	note	source
01-genesis	31	29	merism	Be careful that you speak to Jacob neither good nor bad	The words “good nor bad” are used together to mean “anything.” See how you translated this in [Genesis 31:24](../31/24.md). Alternate translation: “Do not say anything to try and stop Jacob from leaving”	door43_utn
01-genesis	34	2	hendiadys	He took her and lay with her	Possible meanings are (1) “took” and “lay with” are two separate actions. Alternate translation: “he grabbed her and had sexual relations with her” or (2) “took” and “lay with” are a hendiadys, two words used to describe one action, Alternate translation: “raped her”	door43_utn
01-genesis	35	11	doublet	Be fruitful and multiply	God told Jacob to produce children so that there would be many of them. The word “multiply” explains how he was to be “fruitful.” See how you translated this in [Genesis 1:22](../01/22.md).	door43_utn
01-genesis	35	29	doublet	Isaac breathed his last and died	“Isaac took his last breath and died.” The phrases “breathed his last” and “died” mean basically the same thing. See how you translated a similar phrase in [Genesis 25:8](../25/08.md). Alternate translation: “Isaac died”	door43_utn
01-genesis	35	29	doublet	an old man full of days	The phrases “old man” and “full of days” mean basically the same thing. They emphasize that Isaac lived a very long time. Alternate translation: “after he had lived a very long time and was very old”	door43_utn
01-genesis	39	6	doublet	handsome and attractive	Both of the words have same meaning. They refer to Joseph’s pleasing appearance. He was likely good-looking and strong. Alternate translation: “handsome and strong”	door43_utn
01-genesis	43	33	merism	the firstborn according to his birthright, and the youngest according to his youth	The “firstborn” and the “youngest” are used together to mean all the brothers were sitting in order according to their age.	door43_utn
01-genesis	47	27	doublet	They were fruitful and multiplied greatly	The word “multiplied” explains how they were “fruitful.” Alternate translation: “They had very many children”	door43_utn
01-genesis	48	4	doublet	I will make you fruitful, and multiply you	The phrase “multiply you” explains how God would make Jacob “fruitful.” Alternate translation: “I will give you very many descendants”	door43_utn
02-exodus	1	7	doublet		All of these verbs mean similar things; they are used together to emphasize that the Israelites became very numerous. If your language doesn’t have as many words that mean the same thing, you can use fewer words and express the emphasis in another way. Alternate translation: “had many children and became strong”	door43_utn
02-exodus	1	20	doublet	The people increased in numbers	These words mean similar things and are used together to emphasize their numeric growth. If your language doesn’t have as many words that mean the same thing, you can use fewer words and express the emphasis in another way.	door43_utn
02-exodus	2	12	merism	He looked this way and that way	These two opposite directions have the combined meaning of “everywhere.” If your readers would misunderstand this, you could use an equivalent expression or plain language. Alternate translation: “He looked all around”	door43_utn
02-exodus	3	15	merism		The repetition of **generation** is indicating “to each and every generation” which figuratively means “for all people at all times.” If your readers would misunderstand this, you could use an equivalent expression or plain language.	door43_utn
02-exodus	4	10	doublet	I am slow of speech and slow of tongue	These phrases mean basically the same thing. Moses uses them to emphasize that he is not a good speaker. If your language does not use repetition in this way, you could combine these phrases. Alternate translation: “not good at public speaking”	door43_utn
02-exodus	4	10	merism		These phrases simply mean “in the past.” If your readers would misunderstand this, you could use an equivalent expression or plain language.	door43_utn
02-exodus	7	3	doublet	many signs…many wonders	The words **signs** and **wonders** mean basically the same thing. God uses them to emphasize the greatness of what he will do in Egypt. If your language does not use repetition in this way, you could combine them.	door43_utn
02-exodus	7	19	merism		This list is meant to expand on and reinforce the idea of all of the water in Egypt. You should translate the list in such a way that the locations of the blood are not limited to these specific places, but to imply universality.	door43_utn
02-exodus	8	3	merism		This long list means “everywhere in Egypt.” It is presented in this way for rhetorical effect, that is, to convince Pharaoh of how bad this plague will be so he will obey. You should translate the list in such a way that the frogs’ location is not limited to these specific places. The list should imply universality.	door43_utn
02-exodus	8	5	merism		This list is meant to convey the idea of all the water in Egypt where frogs might live. You should translate the list in such a way that the locations are not limited to these specific places. The list should imply universality. This is made clear in [8:6](../08/06.md).	door43_utn
02-exodus	8	9	merism		These lists mean “for everyone” and “from everywhere” (in Egypt). This makes clear that Moses will ask for a complete end of the plague. You should translate the list in such a way that it does not convey limitation to these specifics but is understood to imply universality.	door43_utn
02-exodus	8	11	merism		This list means “from everywhere and everyone” (in Egypt). This shows that the end of the plague will be as complete as was its extent. You should translate the list in such a way that it does not convey limitation to these specifics but is understood to imply universality.	door43_utn
02-exodus	8	13	merism		This list means “from everywhere” (in Egypt). This makes clear that there was a complete end of the plague. You should translate the list in such a way that it does not convey limitation to these specifics but is understood to imply universality.	door43_utn
02-exodus	8	21	merism		This long list means “everywhere in Egypt.” It is presented in this way for rhetorical effect, that is, to convince Pharaoh of how bad this plague will be so he will obey. You should translate the list in such a way that the flies’ location is not limited to these specific places but is understood to imply universality.	door43_utn
02-exodus	8	24	merism		This means “to everyone everywhere” (in Egypt), as made explicit in the next statement. This makes clear that the insects were throughout the land. You should translate this in such a way that it does not convey limitation to these specifics but is understood to imply universality.	door43_utn
02-exodus	8	29	merism		This list means “from everywhere and everyone” (in Egypt). This shows that the end of the plague will be as complete as its extent. You should translate the list in such a way that it does not convey limitation to these specifics but is understood to imply universality.	door43_utn
02-exodus	8	31	merism		This list means “from everyone and everywhere” (in Egypt). This makes clear that there was a complete end of the plague. You should translate the list in such a way that it does not convey limitation to these specifics but is understood to imply universality.	door43_utn
02-exodus	9	3	merism		This long list is meant to reinforce the universal effects of the coming plague. It is presented in this way for rhetorical effect, that is, to convince Pharaoh of how bad this plague will be so he will obey. You should translate the list in such a way that it is not limiting but is understood to imply universality.	door43_utn
02-exodus	9	25	merism		Here, **from man to beast** is a figure of speech used to emphasize the extent and severity of the hail. If your readers would misunderstand this, you could use an equivalent expression or plain language. Alternate translation: “every living thing”	door43_utn
02-exodus	11	5	merism	who sits on his throne	This is a merism. First, two extremes are mentioned: the highest of society (**Pharaoh, who sits on his throne**) and the lowest (**the slave girl who is behind the mill**). Then the animals (**beasts**) are added making it a three-item list of parts of society and even the economy to show the totality of the coming judgment. If your readers would misunderstand this, you could use an equivalent expression or plain language.	door43_utn
02-exodus	11	6	merism		This phrase uses the extremes of past and future to emphasize the concept of “never.” If your readers would misunderstand this, you could use an equivalent expression or plain language. Alternate translation: “such as has never been and never will be”	door43_utn
02-exodus	12	29	merism	at midnight	This phrase indicates that there was no person or household excluded from Yahweh’s judgment. It both speaks of extreme parts of society and then makes this into a list by including the animals. If your readers would misunderstand this, you could use an equivalent expression or plain language. Alternate translation: “the firstborn of Pharaoh who sits on the throne and the firstborn of the captive who was in the house of the pit and the firstborn of everyone in between was struck; even all the firstborn of the beasts were struck”	door43_utn
02-exodus	13	10	merism		Alternate translation: “for all time”	door43_utn
02-exodus	13	15	merism		This is a figure of speech used to emphasize the extent of the plague, nothing was exempt. If your readers would misunderstand this, you could use an equivalent expression or plain language. Alternate translation: “whether he was a person or an animal”	door43_utn
02-exodus	15	16	doublet	Terror and dread will fall on them	**Terror and dread** form a doublet meaning “extremely fearful.” If your language does not use repetition in this way, you could combine these phrases. Alternate translation: “They will become extremely fearful”	door43_utn
02-exodus	20	4	merism	nor the likeness	This list means all created things wherever they are. If your readers would misunderstand this, you could use an equivalent expression or plain language. Alternate translation: “nor anything that looks like anything created, whether that is in heaven above, or that is in the earth beneath, or that is in the water under the earth”	door43_utn
02-exodus	23	7	doublet	I will not acquit the wicked	These two terms mean very similar things, both of which contrast with **the wicked** later in the verse. If your language does not use repetition in this way, you could combine these phrases. Alternate translation: “and … the person who has not done anything wrong or the person who always does what is right” or “and … the person who does right and not wrong”	door43_utn
02-exodus	23	25	merism	he will bless your bread and water	Here, **your bread and your water** is a merism that means food and drink. If your readers would misunderstand this, you could use an equivalent expression or plain language. Alternate translation: “and he will bless your food and drink” or “and he will bless you by giving you food and drink”	door43_utn
02-exodus	32	11	doublet	great power…mighty hand	These two phrases share similar meanings and are combined for emphasis. If doubling in this way would not convey emphasis in your language, you will need to find a way to translate it that does give emphasis. Alternate translation: “using your very strong power”	door43_utn
02-exodus	32	30	doublet	You have committed a very great sin	Here, **sin** used as a verb and then repeated as a noun for emphasis. Along with **great**, it suggests that the people sinned very, very badly. If the repetition of words in this way would not create emphasis, use another form in your language that would. Alternate translation: “You have sinned extremally badly”	door43_utn
02-exodus	32	31	doublet	You have committed a very great sin	Here, **sin** is used as a verb and then repeated as a noun for emphasis. Along with **great**, it suggests that the people sinned very, very badly. If the repetition of words in this way would not create emphasis, use another form in your language that would. Alternate translation: “this people has sinned extremely badly”	door43_utn
02-exodus	34	6	doublet	Yahweh, Yahweh, God is merciful and gracious	This is emphasizing that Yahweh cares for people and acts kindly toward them. If doubling would not strengthen the statement here in your language, consider another form that would.	door43_utn
02-exodus	34	6	doublet	abounding in covenant faithfulness and trustworthiness	This is emphasizing that Yahweh always does what he promises toward the people he loves. If doubling would not strengthen the statement here in your language, consider another form that would.	door43_utn
02-exodus	34	8	doublet	their children	These two verbs have very similar meanings and are often used together to express people’s physical and spiritual posture in worship. If such repetition would be misunderstood in your language, you may need to express the physical action and spiritual action explicitly. Alternate translation: “and bowed to the ground in worship”	door43_utn
02-exodus	34	9	doublet	our iniquity and our sin	The words **iniquity** and **sin** mean basically the same thing and are combined for emphasis. If your language does not use repetition in this way, you could combine these phrases. Alternate translation: “all our sins”	door43_utn
02-exodus	39	32	doublet	So the work on the Dwelling, the tent of meeting, was finished. The people of Israel did everything	The **tabernacle** and **tent of meeting** are the same thing. The two interchangeable terms are brought together here in a poetic doubling to bring this part of the narrative to a close. If your readers would find this confusing you may need to simplify to one or expand in explanation like in the UST. Alternate translation: “holy meeting tent”	door43_utn
02-exodus	39	40	doublet	the Dwelling, the tent of meeting	These refer to the same place. See how you translated the doubling in [verse 32](../39/32.md). Alternate translation: “the Dwelling, that is the tent of meeting”	door43_utn
02-exodus	40	2	doublet	the first day of the first month of the new year	These refer to the same place. See how you translated the doubling in [39:32](../39/32.md). Alternate translation: “the Dwelling, that is the tent of meeting”	door43_utn
02-exodus	40	6	doublet	place the ark of the testimony in it	These refer to the same place. See how you translated the doubling in [39:32](../39/32.md). Alternate translation: “the Dwelling, that is the tent of meeting”	door43_utn
03-leviticus	19	15	merism	You must not lift up the face of the poor, and you must not give preference to the face of the great	The words **poor** and **great** are two extremes, which together mean “anyone.” You can translate this to clarify the terms. Alternate translation: “You must not show favoritism to anyone based on how much money they have”	door43_utn
03-leviticus	19	37	doublet	And you must keep … and you must do	These phrases mean the same thing and emphasize the command for obedience.	door43_utn
03-leviticus	22	31	doublet	And you must keep my commandments and you must do them	The words **keep** and **do** mean the same thing. They emphasize that the people must obey God’s commands. Alternate translation: “you must obey my commandments”	door43_utn
03-leviticus	26	9	doublet	and make you fruitful and multiply you	These two phrases refer to God causing them to have many descendants so they become a large group.	door43_utn
04-numbers	6	4	merism	from the seeds to their skins	These two extremes are given to emphasize the entire grape may not be eaten. Alternate translation: “from any part of a grape”	door43_utn
04-numbers	11	22	doublet	flocks and herds	These two words mean basically the same thing. Together they emphasize a great number of animals.	door43_utn
04-numbers	19	2	doublet	a statute, a law	These two words share similar meanings. Alternate translation: “a statute of the law” or “a legal statute”	door43_utn
04-numbers	19	2	doublet	flaw or blemish	These two words mean basically the same thing and emphasize that this animal is to have no imperfections.	door43_utn
04-numbers	20	22	doublet	The people of Israel, the whole community	The phrase “the whole community” emphasizes that every person who was a part of “the people of Israel” was present, without exception.	door43_utn
04-numbers	21	27	doublet	rebuilt and established	These two terms are very similar and emphasize that the city will be fully rebuilt. Alternate translation: “completely rebuilt”	door43_utn
04-numbers	21	30	merism	Heshbon has perished as far as Dibon … as far as Nophah, which is as far as Medeba	These places connected by **as far as** means the Israelites destroyed these places and everywhere in between—Sihon’s entire nation.	door43_utn
04-numbers	27	21	merism	It will be at his command that the people will go out and come in	This means that Joshua will have authority to command the movements of the community of Israel. “Going out” and “coming in” are two opposite commands used to emphasize that he will have full command over their movements. Alternate translation: “He will command the community’s movements”	door43_utn
04-numbers	30	4	doublet	the vow and the promise	These two phrases have very similar meanings. They emphasize what she has promised to do. Alternate translation: “the vow”	door43_utn
04-numbers	30	5	doublet	her vows or the pledges	These two phrases have very similar meanings. They emphasize what she has promised to do. Alternate translation: “her vows”	door43_utn
05-deuteronomy	1	17	merism	you will hear the small and the great alike	These two extremes “small” and “great” represent all people. Alternate translation: “you will treat all people alike”	door43_utn
05-deuteronomy	2	25	doublet	put the fear and terror	The words “fear” and “terror” mean basically the same thing and emphasize that the fear is intense. Alternate translation: “put a terrible fear”	door43_utn
05-deuteronomy	2	25	hendiadys	tremble and be in anguish	This is hendiadys and emphasizes that the people will “tremble in anguish.”	door43_utn
05-deuteronomy	3	24	merism	in heaven or in earth	These two extremes together mean “anywhere.”	door43_utn
05-deuteronomy	4	6	doublet	keep them and do them	These two phrases mean basically the same thing and emphasize that they are to obey them. Alternate translation: “obey them carefully”	door43_utn
05-deuteronomy	4	11	hendiadys	with darkness, cloud, and thick darkness	Here “thick darkness” describes the cloud. Alternate translation: “with a thick, dark cloud”	door43_utn
05-deuteronomy	4	39	merism	in heaven above and on the earth beneath	The two phrases “in heaven” and “on the earth” show two extremes and mean “everywhere.” Alternate translation: “over everything”	door43_utn
05-deuteronomy	7	26	doublet	You will utterly detest and abhor	The words “detest” and “abhor” mean basically the same thing and emphasize the intensity of hatred. Alternate translation: “You will completely hate”	door43_utn
05-deuteronomy	9	7	doublet	Remember and do not forget	Moses repeats the same command both positively and negatively to emphasize the importance of remembering. The command is plural. Alternate translation: “Be careful to remember”	door43_utn
05-deuteronomy	9	29	doublet	by your great strength and by the display of your power	These phrases mean basically the same thing and emphasize the greatness of Yahweh’s power that he used to rescue his people.	door43_utn
05-deuteronomy	10	14	merism	heaven … earth	These words show two extremes, and are combined to mean that all things everywhere belong to Yahweh.	door43_utn
05-deuteronomy	11	12	merism	from the beginning of the year to the end of the year	Here the two extremes “beginning” and “end” are used together to mean the entire year. Alternate translation: “continuously throughout the entire year”	door43_utn
05-deuteronomy	11	19	merism	when you sit in your house, when you walk on the road, when you lie down, and when you get up	Using the different places “in your house” and “on the road,” and the opposites “when you lie down” and “get up,” represent anywhere, anytime. The people of Israel were to discuss God’s commandments and teach them to their children anytime and anywhere.	door43_utn
05-deuteronomy	11	25	doublet	the fear of you and the terror of you	The words “fear” and “terror” mean the same thing and emphasize the intensity of fear. Alternate translation: “a terrible fear of you”	door43_utn
05-deuteronomy	12	28	doublet	when you do what is good and right	The words “good” and “right” have similar meanings and emphasize the importance of right behavior. Alternate translation: “when you do what is right”	door43_utn
05-deuteronomy	13	1	doublet	a sign or a wonder	These two words have similar meanings and refer to various miracles.	door43_utn
05-deuteronomy	13	7	merism	from the one end of the earth to the other end of the earth	Here the reference to the two extremes of the earth means “everywhere on earth.” Alternate translation: “throughout the entire earth”	door43_utn
05-deuteronomy	13	14	doublet	examine the evidence, make search, and investigate it thoroughly	All of these phrases mean basically the same thing. Moses is emphasizing that they must carefully find out what truly happened at the city.	door43_utn
05-deuteronomy	15	2	doublet	his neighbor or his brother	The words “neighbor” and “brother” share similar meanings and emphasize the close relationship that they have with their fellow Israelites. Alternate translation: “his fellow Israelite”	door43_utn
05-deuteronomy	15	11	doublet	your brother, to your needy, and to your poor	The words “needy” and “poor” mean basically the same thing and emphasize that these are people who cannot help themselves. Alternate translation: “help your fellow Israelites who cannot help themselves”	door43_utn
05-deuteronomy	17	15	doublet	a foreigner, who is not your brother, over yourself	Both of these phrases mean the same thing. They both refer to a person who is not an Israelite. Yahweh is emphasizing that the people of Israel should not let a foreigner rule over them. Alternate translation: “a foreigner over yourself” or “a non-Israelite over yourself”	door43_utn
05-deuteronomy	20	8	doublet	fearful or fainthearted	Both of these words mean basically the same thing. Alternate translation: “afraid to fight in battle”	door43_utn
05-deuteronomy	24	1	doublet	When a man takes a wife and marries her	The phrases “takes a wife” and “marries her” mean the same thing. Alternate translation: “When a man marries a woman”	door43_utn
05-deuteronomy	24	14	doublet	poor and needy	These two words have similar meanings and emphasize that this is a person who cannot help himself.	door43_utn
05-deuteronomy	25	18	doublet	faint and weary	These words have similar meanings and emphasize how tired the people were. Alternate translation: “tired and exhausted”	door43_utn
05-deuteronomy	26	5	doublet	a great, mighty	These words mean basically the same thing. They emphasize that Israel became a large and powerful nation. Alternate translation: “very great”	door43_utn
05-deuteronomy	26	6	doublet	treated us badly and afflicted us	These two phrases say basically the same thing. They emphasize that the Egyptians acted very harshly.	door43_utn
05-deuteronomy	26	15	doublet	from the holy place where you live, from heaven	These two phrases mean the same thing. Alternate translation: “from heaven, your holy dwelling place”	door43_utn
05-deuteronomy	28	3	merism	in the city … in the field	This merism means that Yahweh will bless them everywhere.	door43_utn
05-deuteronomy	28	4	doublet	the fruit of your beasts, the increase of your cattle, and the young of your flock	This doublet is three ways of saying that Yahweh will make the Israelites’ animals many and strong. Alternate translation: “all of your animals along with the calves of the cattle and the lambs of the flocks”	door43_utn
05-deuteronomy	28	6	merism	when you come in … when you go out	This merism refers to all of life’s activities everywhere they go.	door43_utn
05-deuteronomy	28	16	merism	in the city … in the field	This merism means that Yahweh will bless them everywhere. See how you translated this in [Deuteronomy 28:3](../28/03.md).	door43_utn
05-deuteronomy	28	18	doublet	the increase of your cattle, and the young of your flock	This doublet is two ways of saying that Yahweh will make the Israelites’ animals many and strong. Alternate translation: “the calves of the cattle and the lambs of the flocks”	door43_utn
05-deuteronomy	28	19	merism	when you come in … when you go out	This merism refers to all of life’s activities everywhere they go. See how you translated this in [Deuteronomy 28:6](../28/06.md)	door43_utn
05-deuteronomy	28	33	doublet	you will always be oppressed and crushed	The words “oppressed” and “crushed” mean basically the same thing. If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “they will always oppress and crush you” or “they will oppress you continually”	door43_utn
05-deuteronomy	28	37	doublet	of horror, a proverb, and a byword, among all the peoples where Yahweh will lead you away	Here the words “proverb” and “byword” mean basically the same thing. This can be translated as a new sentence. Alternate translation: “of horror. The people, in the places where Yahweh will send you, will make up proverbs and bywords about you” or “of horror. Yahweh will send you to peoples who will laugh at you and ridicule you”	door43_utn
05-deuteronomy	28	45	doublet	his commandments and his regulations	The words “commandments” and “regulations” are a doublet for “all that Yahweh has commanded you to do.”	door43_utn
05-deuteronomy	28	47	doublet	joyfulness and gladness of heart	Here “joyfulness” and “gladness of heart” mean the same thing. They emphasize that the people should have been very glad to worship Yahweh.	door43_utn
05-deuteronomy	28	49	doublet	from far away, from the ends of the earth	These two phrases mean the same thing and emphasize that the enemy will come from a nation that is very far away from Israel.	door43_utn
05-deuteronomy	28	64	merism	from the one end of the earth to the other end of the earth	These two extremes together mean everywhere on earth. Alternate translation: “throughout the earth” or “all over the earth”	door43_utn
05-deuteronomy	29	3	doublet	the signs, and those great wonders	The words “signs” and “wonders” both refer to the plagues that Yahweh had sent upon Egypt. Alternate translation: “and all of the powerful things that Yahweh did”	door43_utn
05-deuteronomy	29	20	hendiadys	the anger of Yahweh and his jealousy	Here the word “jealousy” describes “the anger of Yahweh.” Alternate translation: Yahweh’s jealous anger”	door43_utn
05-deuteronomy	29	24	hendiadys	What does the heat of this great anger mean?	The writer is communicating one idea through two words. Alternate translation: “What does this terrible anger mean?”	door43_utn
05-deuteronomy	29	28	doublet	in anger, in wrath, and in great fury	The words “anger” and “wrath” and “fury” mean basically the same thing and emphasize the great intensity of Yahweh’s anger. Alternate translation: “in extremely great anger” or “because he was extremely angry”	door43_utn
05-deuteronomy	30	20	doublet	For he is your life and the length of your days	These phrases have the same meaning and are metonyms for Yahweh, emphasizing that he is the one who gives life and determines the length of people’s lifetimes. Alternate translation: “Yahweh is the only one who can enable you to live a long life”	door43_utn
05-deuteronomy	31	2	merism	I can no more go out and come in	Here the extremes “go out” and “come in” used together mean that Moses can no longer do what a healthy person can do. Alternate translation: “I am no longer able to go everywhere that you need to go, so I cannot be your leader any longer”	door43_utn
05-deuteronomy	32	4	doublet	He is just and upright	These two words mean basically the same thing and emphasize that Yahweh is fair and does what is right.	door43_utn
05-deuteronomy	32	5	doublet	a perverted and crooked generation	The words “perverted” and “crooked” mean basically the same thing. Moses uses them to emphasize how wicked the generation is. Alternate translation: “a completely wicked generation”	door43_utn
05-deuteronomy	32	6	doublet	you foolish and senseless people	The words “foolish” and “senseless” mean the same thing and emphasize how foolish the people are for disobeying Yahweh. Alternate translation: “you extremely foolish people”	door43_utn
05-deuteronomy	32	25	merism	young man and virgin, the nursing baby, and the man of gray hairs	These terms describing people of different ages are combined to mean that all kinds of people will die.	door43_utn
05-deuteronomy	32	35	doublet	Vengeance is mine to give, and recompense	The words “vengeance” and “recompense” mean basically the same thing. Alternate translation: “I will have vengeance and punish Israel’s enemies”	door43_utn
05-deuteronomy	33	9	doublet	guarded … kept	These words both mean to watch over and to protect. They are often metaphors for “obeyed,” but here they should be translated literally because they refer to a time when the Levites literally killed people who were rebelling against Yahweh.	door43_utn
05-deuteronomy	33	29	merism	the shield … the sword	This merism speaks of Yahweh defending the Israelites from their enemies and enabling them to attack their enemies.	door43_utn
06-joshua	1	5	doublet	I will not abandon you or leave you	The words “abandon” and “leave” mean basically the same thing. Yahweh combines them to emphasize that he will not do these things. Alternate translation: “I will certainly stay with you always”	door43_utn
06-joshua	1	8	doublet	prosperous and successful	These two words mean basically the same thing and emphasize great prosperity.	door43_utn
06-joshua	2	11	doublet	our hearts melted and there was no courage left in anyone	These two phrases share similar meanings, combined for emphasis. The phrase “our hearts melted” compares the hearts of the fearful people of Jericho to ice melting and flowing away.	door43_utn
06-joshua	2	23	doublet	returned and crossed over and came back	These are similar expressions referring to returning to where the Israelite’s are camped.	door43_utn
06-joshua	9	25	doublet	Whatever seems good and right	The words “good” and “right” mean basically the same thing. Alternate translation: “Whatever seems fair and just”	door43_utn
06-joshua	10	35	doublet	struck it with the edge of the sword … completely destroyed everyone in it	These two phrases have similar meanings. Together they show the completeness of the destruction of Eglon.	door43_utn
06-joshua	17	14	doublet	one assignment of land and one portion for an inheritance	These two phrases mean basically the same thing. In the second, the land is spoken of as if it were an inheritance that the people received as a permanent possession. Alternate translation: “one assignment of land as our inheritance”	door43_utn
06-joshua	23	2	doublet	old and well advanced in years	This doublet can be translated as “very old.”	door43_utn
06-joshua	23	13	doublet	a snare and a trap	The words “snare” and “trap” mean basically the same thing. Together they speak of the other nations as if they were a deadly trap that will cause trouble for Israel.	door43_utn
06-joshua	23	14	doublet	know with all your hearts and souls	Here the words “hearts” and “souls” have similar meanings. Together they emphasize deep personal knowledge.	door43_utn
07-judges	2	23	doublet	did not drive them out quickly and give them into the hand of Joshua	These two phrases mean the same thing and can be combined. Alternate translation: “he did not let Joshua quickly conquer them and drive them out”	door43_utn
07-judges	5	10	merism	you who ride on white donkeys … you who walk along the road	This contrast probably refers to rich people and poor people. Alternate translation: “you rich people who ride on white donkeys … you poor people who walk along the road”	door43_utn
